city,time,latitude,longitude,timezone,elevation,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,weather_code
Alexandria,2026-06-30 00:00:00,31.1875,29.9375,Africa/Cairo,12.0,24.3,87,0.0,4.9,2
Alexandria,2026-06-30 01:00:00,31.1875,29.9375,Africa/Cairo,12.0,24.4,85,0.0,4.7,2
Alexandria,2026-06-30 02:00:00,31.1875,29.9375,Africa/Cairo,12.0,24.4,84,0.0,4.3,1
Alexandria,2026-06-30 03:00:00,31.1875,29.9375,Africa/Cairo,12.0,24.1,87,0.0,4.8,2
Alexandria,2026-06-30 04:00:00,31.1875,29.9375,Africa/Cairo,12.0,24.0,87,0.0,5.4,1
Alexandria,2026-06-30 05:00:00,31.1875,29.9375,Africa/Cairo,12.0,24.0,88,0.0,5.6,1
Alexandria,2026-06-30 06:00:00,31.1875,29.9375,Africa/Cairo,12.0,24.0,87,0.0,6.4,1
Alexandria,2026-06-30 07:00:00,31.1875,29.9375,Africa/Cairo,12.0,24.6,82,0.0,6.6,1
Alexandria,2026-06-30 08:00:00,31.1875,29.9375,Africa/Cairo,12.0,25.8,72,0.0,9.8,1
Alexandria,2026-06-30 09:00:00,31.1875,29.9375,Africa/Cairo,12.0,27.1,68,0.0,10.8,1
Alexandria,2026-06-30 10:00:00,31.1875,29.9375,Africa/Cairo,12.0,27.9,66,0.0,11.2,1
Alexandria,2026-06-30 11:00:00,31.1875,29.9375,Africa/Cairo,12.0,28.7,65,0.0,12.2,1
Alexandria,2026-06-30 12:00:00,31.1875,29.9375,Africa/Cairo,12.0,29.2,61,0.0,13.5,0
Alexandria,2026-06-30 13:00:00,31.1875,29.9375,Africa/Cairo,12.0,29.5,61,0.0,14.5,0
Alexandria,2026-06-30 14:00:00,31.1875,29.9375,Africa/Cairo,12.0,29.3,65,0.0,15.5,1
Alexandria,2026-06-30 15:00:00,31.1875,29.9375,Africa/Cairo,12.0,29.1,68,0.0,16.1,2
Alexandria,2026-06-30 16:00:00,31.1875,29.9375,Africa/Cairo,12.0,28.5,73,0.0,15.8,2
Alexandria,2026-06-30 17:00:00,31.1875,29.9375,Africa/Cairo,12.0,28.1,74,0.0,15.6,2
Alexandria,2026-06-30 18:00:00,31.1875,29.9375,Africa/Cairo,12.0,27.5,75,0.0,14.8,1
Alexandria,2026-06-30 19:00:00,31.1875,29.9375,Africa/Cairo,12.0,26.9,77,0.0,12.6,1
Alexandria,2026-06-30 20:00:00,31.1875,29.9375,Africa/Cairo,12.0,26.1,84,0.0,10.8,2
Alexandria,2026-06-30 21:00:00,31.1875,29.9375,Africa/Cairo,12.0,25.8,85,0.0,7.7,2
Alexandria,2026-06-30 22:00:00,31.1875,29.9375,Africa/Cairo,12.0,25.7,82,0.0,6.6,1
Alexandria,2026-06-30 23:00:00,31.1875,29.9375,Africa/Cairo,12.0,25.6,82,0.0,5.7,0
Alexandria,2026-07-01 00:00:00,31.1875,29.9375,Africa/Cairo,12.0,25.2,83,0.0,6.3,1
Alexandria,2026-07-01 01:00:00,31.1875,29.9375,Africa/Cairo,12.0,25.1,82,0.0,6.6,1
Alexandria,2026-07-01 02:00:00,31.1875,29.9375,Africa/Cairo,12.0,25.0,83,0.0,7.1,1
Alexandria,2026-07-01 03:00:00,31.1875,29.9375,Africa/Cairo,12.0,24.9,84,0.0,8.0,1
Alexandria,2026-07-01 04:00:00,31.1875,29.9375,Africa/Cairo,12.0,24.9,85,0.0,8.4,1
Alexandria,2026-07-01 05:00:00,31.1875,29.9375,Africa/Cairo,12.0,24.9,86,0.0,9.3,2
Alexandria,2026-07-01 06:00:00,31.1875,29.9375,Africa/Cairo,12.0,24.8,85,0.0,9.2,2
Alexandria,2026-07-01 07:00:00,31.1875,29.9375,Africa/Cairo,12.0,24.9,83,0.0,10.7,2
Alexandria,2026-07-01 08:00:00,31.1875,29.9375,Africa/Cairo,12.0,25.6,82,0.0,11.3,2
Alexandria,2026-07-01 09:00:00,31.1875,29.9375,Africa/Cairo,12.0,26.4,78,0.0,11.2,2
Alexandria,2026-07-01 10:00:00,31.1875,29.9375,Africa/Cairo,12.0,27.2,74,0.0,11.8,2
Alexandria,2026-07-01 11:00:00,31.1875,29.9375,Africa/Cairo,12.0,27.9,71,0.0,12.3,2
Alexandria,2026-07-01 12:00:00,31.1875,29.9375,Africa/Cairo,12.0,28.5,68,0.0,13.4,1
Alexandria,2026-07-01 13:00:00,31.1875,29.9375,Africa/Cairo,12.0,28.9,65,0.0,14.1,1
Alexandria,2026-07-01 14:00:00,31.1875,29.9375,Africa/Cairo,12.0,29.3,63,0.0,14.3,1
Alexandria,2026-07-01 15:00:00,31.1875,29.9375,Africa/Cairo,12.0,29.5,63,0.0,14.4,1
Alexandria,2026-07-01 16:00:00,31.1875,29.9375,Africa/Cairo,12.0,29.3,64,0.0,14.6,1
Alexandria,2026-07-01 17:00:00,31.1875,29.9375,Africa/Cairo,12.0,29.0,65,0.0,14.0,1
Alexandria,2026-07-01 18:00:00,31.1875,29.9375,Africa/Cairo,12.0,28.3,67,0.0,13.7,1
Alexandria,2026-07-01 19:00:00,31.1875,29.9375,Africa/Cairo,12.0,27.5,70,0.0,12.7,1
Alexandria,2026-07-01 20:00:00,31.1875,29.9375,Africa/Cairo,12.0,26.7,74,0.0,11.5,1
Alexandria,2026-07-01 21:00:00,31.1875,29.9375,Africa/Cairo,12.0,26.2,78,0.0,10.0,2
Alexandria,2026-07-01 22:00:00,31.1875,29.9375,Africa/Cairo,12.0,26.0,81,0.0,8.9,2
Alexandria,2026-07-01 23:00:00,31.1875,29.9375,Africa/Cairo,12.0,25.7,83,0.0,7.9,2
Alexandria,2026-07-02 00:00:00,31.1875,29.9375,Africa/Cairo,12.0,25.4,84,0.0,7.9,2
Alexandria,2026-07-02 01:00:00,31.1875,29.9375,Africa/Cairo,12.0,25.2,84,0.0,8.0,2
Alexandria,2026-07-02 02:00:00,31.1875,29.9375,Africa/Cairo,12.0,25.2,84,0.0,7.2,2
Alexandria,2026-07-02 03:00:00,31.1875,29.9375,Africa/Cairo,12.0,25.0,83,0.0,8.2,2
Alexandria,2026-07-02 04:00:00,31.1875,29.9375,Africa/Cairo,12.0,25.1,85,0.0,7.2,2
Alexandria,2026-07-02 05:00:00,31.1875,29.9375,Africa/Cairo,12.0,25.3,82,0.0,6.7,2
Alexandria,2026-07-02 06:00:00,31.1875,29.9375,Africa/Cairo,12.0,25.3,83,0.0,6.4,2
Alexandria,2026-07-02 07:00:00,31.1875,29.9375,Africa/Cairo,12.0,25.6,80,0.0,7.5,2
Alexandria,2026-07-02 08:00:00,31.1875,29.9375,Africa/Cairo,12.0,26.3,76,0.0,9.9,2
Alexandria,2026-07-02 09:00:00,31.1875,29.9375,Africa/Cairo,12.0,27.3,71,0.0,11.1,2
Alexandria,2026-07-02 10:00:00,31.1875,29.9375,Africa/Cairo,12.0,28.1,67,0.0,12.9,1
Alexandria,2026-07-02 11:00:00,31.1875,29.9375,Africa/Cairo,12.0,28.6,65,0.0,14.4,2
Alexandria,2026-07-02 12:00:00,31.1875,29.9375,Africa/Cairo,12.0,29.2,64,0.0,15.1,2
Alexandria,2026-07-02 13:00:00,31.1875,29.9375,Africa/Cairo,12.0,29.5,63,0.0,15.9,2
Alexandria,2026-07-02 14:00:00,31.1875,29.9375,Africa/Cairo,12.0,29.5,64,0.0,16.3,2
Alexandria,2026-07-02 15:00:00,31.1875,29.9375,Africa/Cairo,12.0,29.5,65,0.0,17.1,2
Alexandria,2026-07-02 16:00:00,31.1875,29.9375,Africa/Cairo,12.0,29.2,65,0.0,16.3,2
Alexandria,2026-07-02 17:00:00,31.1875,29.9375,Africa/Cairo,12.0,28.8,69,0.0,15.3,2
Alexandria,2026-07-02 18:00:00,31.1875,29.9375,Africa/Cairo,12.0,28.1,71,0.0,14.3,2
Alexandria,2026-07-02 19:00:00,31.1875,29.9375,Africa/Cairo,12.0,27.4,74,0.0,13.7,2
Alexandria,2026-07-02 20:00:00,31.1875,29.9375,Africa/Cairo,12.0,26.6,79,0.0,12.5,1
Alexandria,2026-07-02 21:00:00,31.1875,29.9375,Africa/Cairo,12.0,26.0,81,0.0,11.5,2
Alexandria,2026-07-02 22:00:00,31.1875,29.9375,Africa/Cairo,12.0,26.1,80,0.0,10.2,2
Alexandria,2026-07-02 23:00:00,31.1875,29.9375,Africa/Cairo,12.0,26.0,81,0.0,9.7,2
Alexandria,2026-07-03 00:00:00,31.1875,29.9375,Africa/Cairo,12.0,25.8,80,0.0,9.6,2
Alexandria,2026-07-03 01:00:00,31.1875,29.9375,Africa/Cairo,12.0,25.7,81,0.0,9.6,2
Alexandria,2026-07-03 02:00:00,31.1875,29.9375,Africa/Cairo,12.0,25.6,81,0.0,9.9,2
Alexandria,2026-07-03 03:00:00,31.1875,29.9375,Africa/Cairo,12.0,25.5,82,0.0,9.7,2
Alexandria,2026-07-03 04:00:00,31.1875,29.9375,Africa/Cairo,12.0,25.4,83,0.0,8.9,2
Alexandria,2026-07-03 05:00:00,31.1875,29.9375,Africa/Cairo,12.0,25.5,79,0.0,9.0,1
Alexandria,2026-07-03 06:00:00,31.1875,29.9375,Africa/Cairo,12.0,25.7,77,0.0,9.0,2
Alexandria,2026-07-03 07:00:00,31.1875,29.9375,Africa/Cairo,12.0,25.7,79,0.0,10.5,1
Alexandria,2026-07-03 08:00:00,31.1875,29.9375,Africa/Cairo,12.0,26.5,73,0.0,12.6,1
Alexandria,2026-07-03 09:00:00,31.1875,29.9375,Africa/Cairo,12.0,27.4,68,0.0,12.4,1
Alexandria,2026-07-03 10:00:00,31.1875,29.9375,Africa/Cairo,12.0,28.5,63,0.0,13.0,1
Alexandria,2026-07-03 11:00:00,31.1875,29.9375,Africa/Cairo,12.0,29.2,63,0.0,14.2,1
Alexandria,2026-07-03 12:00:00,31.1875,29.9375,Africa/Cairo,12.0,29.9,59,0.0,15.1,1
Alexandria,2026-07-03 13:00:00,31.1875,29.9375,Africa/Cairo,12.0,30.1,60,0.0,16.3,1
Alexandria,2026-07-03 14:00:00,31.1875,29.9375,Africa/Cairo,12.0,29.9,63,0.0,16.8,1
Alexandria,2026-07-03 15:00:00,31.1875,29.9375,Africa/Cairo,12.0,29.8,62,0.0,16.5,1
Alexandria,2026-07-03 16:00:00,31.1875,29.9375,Africa/Cairo,12.0,29.7,64,0.0,15.9,1
Alexandria,2026-07-03 17:00:00,31.1875,29.9375,Africa/Cairo,12.0,29.2,66,0.0,15.5,1
Alexandria,2026-07-03 18:00:00,31.1875,29.9375,Africa/Cairo,12.0,28.7,68,0.0,14.1,1
Alexandria,2026-07-03 19:00:00,31.1875,29.9375,Africa/Cairo,12.0,27.8,73,0.0,12.9,1
Alexandria,2026-07-03 20:00:00,31.1875,29.9375,Africa/Cairo,12.0,26.9,79,0.0,11.9,1
Alexandria,2026-07-03 21:00:00,31.1875,29.9375,Africa/Cairo,12.0,26.3,84,0.0,10.9,2
Alexandria,2026-07-03 22:00:00,31.1875,29.9375,Africa/Cairo,12.0,26.2,85,0.0,11.0,2
Alexandria,2026-07-03 23:00:00,31.1875,29.9375,Africa/Cairo,12.0,25.9,85,0.0,11.1,2
Alexandria,2026-07-04 00:00:00,31.1875,29.9375,Africa/Cairo,12.0,25.8,85,0.0,11.1,2
Alexandria,2026-07-04 01:00:00,31.1875,29.9375,Africa/Cairo,12.0,25.9,85,0.0,11.0,2
Alexandria,2026-07-04 02:00:00,31.1875,29.9375,Africa/Cairo,12.0,25.4,85,0.0,11.8,2
Alexandria,2026-07-04 03:00:00,31.1875,29.9375,Africa/Cairo,12.0,25.4,86,0.0,11.5,2
Alexandria,2026-07-04 04:00:00,31.1875,29.9375,Africa/Cairo,12.0,25.6,84,0.0,10.6,2
Alexandria,2026-07-04 05:00:00,31.1875,29.9375,Africa/Cairo,12.0,25.4,86,0.0,11.0,2
Alexandria,2026-07-04 06:00:00,31.1875,29.9375,Africa/Cairo,12.0,25.4,84,0.0,10.9,2
Alexandria,2026-07-04 07:00:00,31.1875,29.9375,Africa/Cairo,12.0,25.7,83,0.0,11.7,2
Alexandria,2026-07-04 08:00:00,31.1875,29.9375,Africa/Cairo,12.0,26.6,77,0.0,13.0,2
Alexandria,2026-07-04 09:00:00,31.1875,29.9375,Africa/Cairo,12.0,27.4,74,0.0,13.8,2
Alexandria,2026-07-04 10:00:00,31.1875,29.9375,Africa/Cairo,12.0,28.2,71,0.0,14.1,2
